epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.5562,0.33566,0.99329,1,0.08283,0.000540649,0.000540649,0.000540649
2,27.7238,0.06493,0.99329,1,0.01331,0.00107461,0.00107461,0.00107461
3,41.3375,0.04545,0.99329,1,0.01675,0.00158656,0.00158656,0.00158656
4,55.2376,0.04325,0.97987,1,0.03321,0.00156798,0.00156798,0.00156798
5,68.3377,0.07007,1,1,0.01485,0.00153497,0.00153497,0.00153497
6,81.2189,0.05662,0.99329,1,0.01283,0.00150197,0.00150197,0.00150197
7,94.2905,0.02732,1,1,0.00612,0.00146896,0.00146896,0.00146896
8,107.557,0.03323,0.98658,1,0.05075,0.00143595,0.00143595,0.00143595
9,121.128,0.04681,0.98658,1,0.04424,0.00140295,0.00140295,0.00140295
10,135.886,0.04097,0.97315,1,0.04188,0.00136994,0.00136994,0.00136994
11,149.027,0.03024,1,1,0.01041,0.00133693,0.00133693,0.00133693
12,161.697,0.02069,0.98658,1,0.0345,0.00130393,0.00130393,0.00130393
13,174.317,0.0176,0.97987,1,0.02219,0.00127092,0.00127092,0.00127092
14,187.689,0.02175,0.97987,1,0.01753,0.00123791,0.00123791,0.00123791
15,201.736,0.02921,0.99329,1,0.01347,0.00120491,0.00120491,0.00120491
16,216.505,0.02841,0.98658,1,0.10496,0.0011719,0.0011719,0.0011719
17,230.924,0.02501,0.98658,1,0.06885,0.00113889,0.00113889,0.00113889
18,246.093,0.01329,0.99329,1,0.01218,0.00110589,0.00110589,0.00110589
19,261.102,0.01109,1,1,0.0048,0.00107288,0.00107288,0.00107288
20,275.669,0.02611,0.98658,1,0.09308,0.00103987,0.00103987,0.00103987
21,289.32,0.00566,0.98658,1,0.04582,0.00100687,0.00100687,0.00100687
22,304.23,0.02769,0.98658,1,0.05873,0.000973861,0.000973861,0.000973861
23,318.857,0.01458,0.98658,1,0.09564,0.000940855,0.000940855,0.000940855
24,333.214,0.00846,0.98658,1,0.05799,0.000907848,0.000907848,0.000907848
25,347.1,0.01618,0.99329,1,0.02894,0.000874842,0.000874842,0.000874842
26,360.562,0.0249,0.99329,1,0.00992,0.000841835,0.000841835,0.000841835
27,373.811,0.02112,0.99329,1,0.01507,0.000808828,0.000808828,0.000808828
28,387.185,0.00584,0.98658,1,0.05411,0.000775822,0.000775822,0.000775822
29,400.465,0.01973,0.98658,1,0.05545,0.000742815,0.000742815,0.000742815
30,414.355,0.0074,0.98658,1,0.03879,0.000709809,0.000709809,0.000709809
31,429.315,0.01101,0.98658,1,0.04426,0.000676802,0.000676802,0.000676802
32,443.118,0.00659,0.98658,1,0.0698,0.000643795,0.000643795,0.000643795
33,456.837,0.00694,0.98658,1,0.0707,0.000610789,0.000610789,0.000610789
34,470.842,0.00916,0.98658,1,0.06982,0.000577782,0.000577782,0.000577782
35,484.714,0.00394,0.98658,1,0.08006,0.000544776,0.000544776,0.000544776
36,499.211,0.00461,0.98658,1,0.09041,0.000511769,0.000511769,0.000511769
37,513.275,0.00159,0.98658,1,0.07101,0.000478762,0.000478762,0.000478762
38,526.719,0.01589,0.98658,1,0.05563,0.000445756,0.000445756,0.000445756
39,540.454,0.00543,0.98658,1,0.09014,0.000412749,0.000412749,0.000412749
40,554.232,0.01832,0.98658,1,0.04291,0.000379743,0.000379743,0.000379743
41,568.669,0.00546,0.99329,1,0.03454,0.000346736,0.000346736,0.000346736
42,583.435,0.01164,0.99329,1,0.03574,0.000313729,0.000313729,0.000313729
43,597.264,0.0048,0.98658,1,0.10109,0.000280723,0.000280723,0.000280723
44,610.115,0.00439,0.98658,1,0.08925,0.000247716,0.000247716,0.000247716
45,623.251,0.00743,0.98658,1,0.09561,0.00021471,0.00021471,0.00021471
46,639.819,0.00795,0.98658,1,0.09884,0.000181703,0.000181703,0.000181703
47,654.014,0.00664,0.98658,1,0.10798,0.000148696,0.000148696,0.000148696
48,670.422,0.00394,0.98658,1,0.14583,0.00011569,0.00011569,0.00011569
49,683.508,0.00453,0.98658,1,0.16467,8.26832e-05,8.26832e-05,8.26832e-05
50,698.238,0.01142,0.98658,1,0.15528,4.96766e-05,4.96766e-05,4.96766e-05
